year,district,pop
1990,Багануур,0
1990,Багахангай,0
1990,Баянгол,0
1990,Баянзүрх,0
1990,Налайх,0
1990,Сонгинохайрхан,0
1990,Сүхбаатар,0
1990,Хан-Уул,0
1990,Чингэлтэй,0
1991,Багануур,0
1991,Багахангай,0
1991,Баянгол,0
1991,Баянзүрх,0
1991,Налайх,0
1991,Сонгинохайрхан,0
1991,Сүхбаатар,0
1991,Хан-Уул,0
1991,Чингэлтэй,0
1992,Багануур,0
1992,Багахангай,0
1992,Баянгол,0
1992,Баянзүрх,0
1992,Налайх,0
1992,Сонгинохайрхан,0
1992,Сүхбаатар,0
1992,Хан-Уул,0
1992,Чингэлтэй,0
1993,Багануур,0
1993,Багахангай,0
1993,Баянгол,0
1993,Баянзүрх,0
1993,Налайх,0
1993,Сонгинохайрхан,0
1993,Сүхбаатар,0
1993,Хан-Уул,0
1993,Чингэлтэй,0
1994,Багануур,0
1994,Багахангай,0
1994,Баянгол,0
1994,Баянзүрх,0
1994,Налайх,0
1994,Сонгинохайрхан,0
1994,Сүхбаатар,0
1994,Хан-Уул,0
1994,Чингэлтэй,0
1995,Багануур,17138
1995,Багахангай,5215
1995,Баянгол,113850
1995,Баянзүрх,102220
1995,Налайх,22035
1995,Сонгинохайрхан,123674
1995,Сүхбаатар,82350
1995,Хан-Уул,54476
1995,Чингэлтэй,91142
1996,Багануур,17567
1996,Багахангай,5300
1996,Баянгол,115696
1996,Баянзүрх,104776
1996,Налайх,22933
1996,Сонгинохайрхан,125231
1996,Сүхбаатар,84071
1996,Хан-Уул,55839
1996,Чингэлтэй,93483
1997,Багануур,19142
1997,Багахангай,5033
1997,Баянгол,118700
1997,Баянзүрх,107200
1997,Налайх,22279
1997,Сонгинохайрхан,127308
1997,Сүхбаатар,85400
1997,Хан-Уул,57780
1997,Чингэлтэй,95600
1998,Багануур,20242
1998,Багахангай,5010
1998,Баянгол,119639
1998,Баянзүрх,110518
1998,Налайх,21683
1998,Сонгинохайрхан,130721
1998,Сүхбаатар,89393
1998,Хан-Уул,58506
1998,Чингэлтэй,96519
1999,Багануур,20547
1999,Багахангай,5121
1999,Баянгол,122460
1999,Баянзүрх,114561
1999,Налайх,20124
1999,Сонгинохайрхан,135858
1999,Сүхбаатар,93568
1999,Хан-Уул,61114
1999,Чингэлтэй,100311
2000,Багануур,20514
2000,Багахангай,3513
2000,Баянгол,139919
2000,Баянзүрх,148460
2000,Налайх,23207
2000,Сонгинохайрхан,157294
2000,Сүхбаатар,94735
2000,Хан-Уул,71976
2000,Чингэлтэй,107880
2001,Багануур,21576
2001,Багахангай,3501
2001,Баянгол,144521
2001,Баянзүрх,154239
2001,Налайх,23491
2001,Сонгинохайрхан,163247
2001,Сүхбаатар,98196
2001,Хан-Уул,74372
2001,Чингэлтэй,111798
2002,Багануур,22693
2002,Багахангай,3671
2002,Баянгол,151692
2002,Баянзүрх,161918
2002,Налайх,24679
2002,Сонгинохайрхан,171329
2002,Сүхбаатар,103114
2002,Хан-Уул,78072
2002,Чингэлтэй,117428
2003,Багануур,24212
2003,Багахангай,3703
2003,Баянгол,156440
2003,Баянзүрх,177182
2003,Налайх,25148
2003,Сонгинохайрхан,185858
2003,Сүхбаатар,108173
2003,Хан-Уул,83134
2003,Чингэлтэй,124779
2004,Багануур,24995
2004,Багахангай,3770
2004,Баянгол,161525
2004,Баянзүрх,187511
2004,Налайх,26101
2004,Сонгинохайрхан,198700
2004,Сүхбаатар,114218
2004,Хан-Уул,85430
2004,Чингэлтэй,127262
2005,Багануур,25813
2005,Багахангай,3859
2005,Баянгол,163931
2005,Баянзүрх,200345
2005,Налайх,27094
2005,Сонгинохайрхан,208984
2005,Сүхбаатар,119755
2005,Хан-Уул,89804
2005,Чингэлтэй,133302
2006,Багануур,26268
2006,Багахангай,3911
2006,Баянгол,164122
2006,Баянзүрх,215958
2006,Налайх,27855
2006,Сонгинохайрхан,215392
2006,Сүхбаатар,125573
2006,Хан-Уул,92781
2006,Чингэлтэй,135614
2007,Багануур,26486
2007,Багахангай,3936
2007,Баянгол,168449
2007,Баянзүрх,225982
2007,Налайх,28711
2007,Сонгинохайрхан,224673
2007,Сүхбаатар,132068
2007,Хан-Уул,96566
2007,Чингэлтэй,138717
2008,Багануур,26291
2008,Багахангай,3791
2008,Баянгол,171880
2008,Баянзүрх,238812
2008,Налайх,29569
2008,Сонгинохайрхан,235909
2008,Сүхбаатар,135161
2008,Хан-Уул,100338
2008,Чингэлтэй,142173
2009,Багануур,26220
2009,Багахангай,3628
2009,Баянгол,177137
2009,Баянзүрх,253512
2009,Налайх,30620
2009,Сонгинохайрхан,244565
2009,Сүхбаатар,136863
2009,Хан-Уул,105527
2009,Чингэлтэй,143088
2010,Багануур,26904
2010,Багахангай,3649
2010,Баянгол,184802
2010,Баянзүрх,264097
2010,Налайх,31422
2010,Сонгинохайрхан,252400
2010,Сүхбаатар,136740
2010,Хан-Уул,111421
2010,Чингэлтэй,147256
2011,Багануур,26934
2011,Багахангай,3737
2011,Баянгол,191225
2011,Баянзүрх,282069
2011,Налайх,32389
2011,Сонгинохайрхан,256029
2011,Сүхбаатар,137220
2011,Хан-Уул,119310
2011,Чингэлтэй,152429
2012,Багануур,27573
2012,Багахангай,3687
2012,Баянгол,193441
2012,Баянзүрх,296232
2012,Налайх,33044
2012,Сонгинохайрхан,263073
2012,Сүхбаатар,132697
2012,Хан-Уул,128027
2012,Чингэлтэй,154598
2013,Багануур,28372
2013,Багахангай,3845
2013,Баянгол,203164
2013,Баянзүрх,308987
2013,Налайх,33758
2013,Сонгинохайрхан,281557
2013,Сүхбаатар,135319
2013,Хан-Уул,133070
2013,Чингэлтэй,158212
2014,Багануур,28333
2014,Багахангай,3903
2014,Баянгол,208898
2014,Баянзүрх,308672
2014,Налайх,34547
2014,Сонгинохайрхан,295827
2014,Сүхбаатар,136424
2014,Хан-Уул,138368
2014,Чингэлтэй,159514
2015,Багануур,28419
2015,Багахангай,4131
2015,Баянгол,205663
2015,Баянзүрх,320852
2015,Налайх,35813
2015,Сонгинохайрхан,307224
2015,Сүхбаатар,137633
2015,Хан-Уул,150946
2015,Чингэлтэй,154819
2016,Багануур,28973
2016,Багахангай,4143
2016,Баянгол,214278
2016,Баянзүрх,327123
2016,Налайх,36425
2016,Сонгинохайрхан,315802
2016,Сүхбаатар,136569
2016,Хан-Уул,159465
2016,Чингэлтэй,158014
2017,Багануур,28787
2017,Багахангай,4100
2017,Баянгол,221384
2017,Баянзүрх,336932
2017,Налайх,36911
2017,Сонгинохайрхан,322458
2017,Сүхбаатар,138047
2017,Хан-Уул,169726
2017,Чингэлтэй,159051
2018,Багануур,29512
2018,Багахангай,4399
2018,Баянгол,226869
2018,Баянзүрх,343619
2018,Налайх,37608
2018,Сонгинохайрхан,321150
2018,Сүхбаатар,145335
2018,Хан-Уул,178919
2018,Чингэлтэй,157258
2019,Багануур,28570
2019,Багахангай,4123
2019,Баянгол,225840
2019,Баянзүрх,361689
2019,Налайх,37659
2019,Сонгинохайрхан,327580
2019,Сүхбаатар,144409
2019,Хан-Уул,187278
2019,Чингэлтэй,148977
2020,Багануур,29342
2020,Багахангай,4463
2020,Баянгол,231517
2020,Баянзүрх,367679
2020,Налайх,38690
2020,Сонгинохайрхан,335703
2020,Сүхбаатар,144616
2020,Хан-Уул,195927
2020,Чингэлтэй,151203
2021,Багануур,29433
2021,Багахангай,4459
2021,Баянгол,236385
2021,Баянзүрх,383892
2021,Налайх,38929
2021,Сонгинохайрхан,341540
2021,Сүхбаатар,144542
2021,Хан-Уул,209524
2021,Чингэлтэй,150548
2022,Багануур,29341
2022,Багахангай,4416
2022,Баянгол,246886
2022,Баянзүрх,408797
2022,Налайх,39579
2022,Сонгинохайрхан,342112
2022,Сүхбаатар,142444
2022,Хан-Уул,238511
2022,Чингэлтэй,144249
2023,Багануур,28926
2023,Багахангай,4422
2023,Баянгол,252979
2023,Баянзүрх,436822
2023,Налайх,40238
2023,Сонгинохайрхан,341390
2023,Сүхбаатар,141537
2023,Хан-Уул,258187
2023,Чингэлтэй,136280
2024,Багануур,29152
2024,Багахангай,4549
2024,Баянгол,259411
2024,Баянзүрх,450873
2024,Налайх,40674
2024,Сонгинохайрхан,343439
2024,Сүхбаатар,143332
2024,Хан-Уул,273398
2024,Чингэлтэй,133044
2025,Багануур,28949
2025,Багахангай,4249
2025,Баянгол,254710
2025,Баянзүрх,452195
2025,Налайх,40824
2025,Сонгинохайрхан,339203
2025,Сүхбаатар,141023
2025,Хан-Уул,283010
2025,Чингэлтэй,129116
